field_id,blind_id,present_order,panel,slide,cohort,batch,diet,split,sample_type,x,y,size,score,image,context
s714e88_f01,s714e88,1,1,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,24064,12288,512,5.81352568528771,images/s714e88_024064_012288.jpg,context/s714e88_024064_012288.jpg
s714e88_f02,s714e88,1,2,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,11264,14336,512,2.5547241716573943,images/s714e88_011264_014336.jpg,context/s714e88_011264_014336.jpg
s714e88_f03,s714e88,1,3,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,15360,14336,512,2.660572134639753,images/s714e88_015360_014336.jpg,context/s714e88_015360_014336.jpg
s714e88_f04,s714e88,1,4,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,19456,11264,512,1.5578793052082438,images/s714e88_019456_011264.jpg,context/s714e88_019456_011264.jpg
s714e88_f05,s714e88,1,5,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,16896,12800,512,6.938231520836049,images/s714e88_016896_012800.jpg,context/s714e88_016896_012800.jpg
s714e88_f06,s714e88,1,6,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,17920,11264,512,5.416171602394983,images/s714e88_017920_011264.jpg,context/s714e88_017920_011264.jpg
s714e88_f07,s714e88,1,7,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,12288,11264,512,5.747873248074243,images/s714e88_012288_011264.jpg,context/s714e88_012288_011264.jpg
s714e88_f08,s714e88,1,8,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,7680,11776,512,5.178180233405639,images/s714e88_007680_011776.jpg,context/s714e88_007680_011776.jpg
s714e88_f09,s714e88,1,9,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,5632,14336,512,2.5124088464381726,images/s714e88_005632_014336.jpg,context/s714e88_005632_014336.jpg
s714e88_f10,s714e88,1,10,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,19968,12800,512,7.67974542321861,images/s714e88_019968_012800.jpg,context/s714e88_019968_012800.jpg
s714e88_f11,s714e88,1,11,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,6656,14336,512,2.925841941916417,images/s714e88_006656_014336.jpg,context/s714e88_006656_014336.jpg
s714e88_f12,s714e88,1,12,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,18432,14336,512,6.100303789405541,images/s714e88_018432_014336.jpg,context/s714e88_018432_014336.jpg
s714e88_f13,s714e88,1,13,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,20992,11264,512,4.9121794606508775,images/s714e88_020992_011264.jpg,context/s714e88_020992_011264.jpg
s714e88_f14,s714e88,1,14,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,6656,12800,512,2.8826343156307166,images/s714e88_006656_012800.jpg,context/s714e88_006656_012800.jpg
s714e88_f15,s714e88,1,15,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,8192,14336,512,,images/s714e88_008192_014336.jpg,context/s714e88_008192_014336.jpg
s714e88_f16,s714e88,1,16,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,uniform,25600,13312,512,1.8554542188583667,images/s714e88_025600_013312.jpg,context/s714e88_025600_013312.jpg
s714e88_f17,s714e88,1,17,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,repeat,19968,12800,512,7.67974542321861,images/s714e88_019968_012800.jpg,context/s714e88_019968_012800.jpg
s714e88_f18,s714e88,1,18,R22-354_23_ACLY656 NASH4,ACLY656,2025-03-28_Celina 656D H&E,nash,train,repeat,25600,13312,512,1.8554542188583667,images/s714e88_025600_013312.jpg,context/s714e88_025600_013312.jpg
sb3057a_f01,sb3057a,2,1,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,29184,31744,512,,images/sb3057a_029184_031744.jpg,context/sb3057a_029184_031744.jpg
sb3057a_f02,sb3057a,2,2,R25-079_25_HE,unknown,2025-03-07_Jaya HE,unknown,train,uniform,14336,20992,512,,images/sb3057a_014336_020992.jpg,context/sb3057a_014336_020992.jpg
