order,tile_id,slide,image,context,tile_um,context_um,core_box,dup_of
1,R25-264-32_x011264_y019456,R25-264-32,images/R25-264-32_x011264_y019456.png,context/R25-264-32_x011264_y019456.jpg,253.6,760.8,341 341 341 341,
2,R25-264-34_x015872_y010752,R25-264-34,images/R25-264-34_x015872_y010752.png,context/R25-264-34_x015872_y010752.jpg,253.6,760.8,341 341 341 341,
3,R25-264-12_x030720_y014336,R25-264-12,images/R25-264-12_x030720_y014336.png,context/R25-264-12_x030720_y014336.jpg,253.6,760.8,341 341 341 341,
4,R26-122-36_HE_95_x024064_y012800,R26-122-36_HE_95,images/R26-122-36_HE_95_x024064_y012800.png,context/R26-122-36_HE_95_x024064_y012800.jpg,253.6,760.8,341 341 341 341,
5,R25-264-32_x042496_y019456,R25-264-32,images/R25-264-32_x042496_y019456.png,context/R25-264-32_x042496_y019456.jpg,253.6,760.8,341 341 341 341,
6,R25-264-11_x027648_y011264,R25-264-11,images/R25-264-11_x027648_y011264.png,context/R25-264-11_x027648_y011264.jpg,253.6,760.8,341 341 341 341,
7,R25-264-13_x044544_y018432,R25-264-13,images/R25-264-13_x044544_y018432.png,context/R25-264-13_x044544_y018432.jpg,253.6,760.8,341 341 341 341,
8,R25-264-34_x015872_y009728,R25-264-34,images/R25-264-34_x015872_y009728.png,context/R25-264-34_x015872_y009728.jpg,253.6,760.8,341 341 341 341,
9,R25-264-12_x019456_y014336,R25-264-12,images/R25-264-12_x019456_y014336.png,context/R25-264-12_x019456_y014336.jpg,253.6,760.8,341 341 341 341,
10,R25-264-33_x023040_y018432,R25-264-33,images/R25-264-33_x023040_y018432.png,context/R25-264-33_x023040_y018432.jpg,253.6,760.8,341 341 341 341,
11,R25-264-12_x040960_y014336,R25-264-12,images/R25-264-12_x040960_y014336.png,context/R25-264-12_x040960_y014336.jpg,253.6,760.8,341 341 341 341,
12,R25-264-32_x021504_y019968,R25-264-32,images/R25-264-32_x021504_y019968.png,context/R25-264-32_x021504_y019968.jpg,253.6,760.8,341 341 341 341,
13,R25-264-1_x032256_y022528,R25-264-1,images/R25-264-1_x032256_y022528.png,context/R25-264-1_x032256_y022528.jpg,253.6,760.8,341 341 341 341,
