tile_id,slide,cohort,diet,batch,split,band,score,score_pct,n_scored_cells,x,y,size,tissue_fraction,dup_of,order
R25-264-32_x011264_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,high,5.0626,95.28,3,11264,19456,512,1.0,,1
R25-264-34_x015872_y010752,R25-264-34,MASH,unknown,2025-08-25HE,train,high,3.555,90.36,2,15872,10752,512,1.0,,2
R25-264-12_x030720_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,low,-1.3531,20.54,2,30720,14336,512,1.0,,3
R26-122-36_HE_95_x024064_y012800,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,5.4581,75.64,26,24064,12800,512,1.0,,4
R25-264-32_x042496_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,mid,1.2787,47.24,1,42496,19456,512,1.0,,5
R25-264-11_x027648_y011264,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,4.2418,81.6,1,27648,11264,512,1.0,,6
R25-264-13_x044544_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,high,4.6236,96.23,2,44544,18432,512,1.0,,7
R25-264-34_x015872_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,high,4.1021,94.58,2,15872,9728,512,1.0,,8
R25-264-12_x019456_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,high,4.7278,96.43,3,19456,14336,512,1.0,,9
R25-264-33_x023040_y018432,R25-264-33,MASH,unknown,2025-08-25HE,train,high,6.5161,97.53,5,23040,18432,512,1.0,,10
R25-264-12_x040960_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,40960,14336,512,1.0,,11
R25-264-32_x021504_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,high,4.715,92.91,3,21504,19968,512,1.0,,12
R25-264-1_x032256_y022528,R25-264-1,MASH,unknown,2025-08-25HE,train,upper,2.9069,89.43,7,32256,22528,512,1.0,,13
R25-264-31_x028160_y015360,R25-264-31,MASH,unknown,2025-08-25HE,test,high,5.0724,92.16,1,28160,15360,512,1.0,,14
R25-264-33_x021504_y017408,R25-264-33,MASH,unknown,2025-08-25HE,train,low,1.0763,20.37,2,21504,17408,512,1.0,,15
R25-264-13_x035840_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,3.1031,80.5,1,35840,18432,512,1.0,,16
R25-264-37_x017408_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,upper,4.9951,82.81,7,17408,8192,512,1.0,,17
R26-122-2_HE_71_x009216_y013312,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,9.6814,99.64,22,9216,13312,512,1.0,,18
R25-264-12_x039424_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,high,4.6137,95.54,2,39424,14848,512,1.0,,19
R25-264-12_x015872_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,high,4.4679,94.64,1,15872,15360,512,1.0,,20
R25-264-33_x020480_y018944,R25-264-33,MASH,unknown,2025-08-25HE,train,upper,3.9423,75.31,5,20480,18944,512,1.0,,21
R26-122-36_HE_95_x004096_y012288,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.0805,85.09,24,4096,12288,512,1.0,,22
R25-264-1_x016384_y021504,R25-264-1,MASH,unknown,2025-08-25HE,train,high,3.2202,91.87,4,16384,21504,512,1.0,,23
R25-264-13_x018944_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,-1.214,12.58,1,18944,19456,512,1.0,,24
R26-122-10_HE_79_x023040_y008704,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,4.8576,68.03,17,23040,8704,512,1.0,,25
R25-264-12_x021504_y015360,R25-264-12,MASH,unknown,2025-08-25HE,test,low,,0.0,0,21504,15360,512,1.0,,26
R25-264-13_x017408_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,3.1067,81.13,1,17408,18432,512,1.0,,27
R26-122-2_HE_71_x007168_y012800,R26-122-2_HE_71,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.8449,88.97,37,7168,12800,512,1.0,,28
R25-264-1_x027648_y020992,R25-264-1,MASH,unknown,2025-08-25HE,train,anchor,-1.5201,21.54,1,27648,20992,512,1.0,,29
R25-264-31_x024064_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,mid,2.8383,61.44,2,24064,16896,512,0.9109,,30
R25-264-13_x032768_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,high,4.3833,94.97,2,32768,18432,512,1.0,,31
R25-264-31_x022016_y015872,R25-264-31,MASH,unknown,2025-08-25HE,test,high,5.0624,91.5,3,22016,15872,512,1.0,,32
R25-264-11_x038400_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,upper,4.6067,85.89,5,38400,10752,512,1.0,,33
R25-264-11_x013312_y010240,R25-264-11,MASH,unknown,2025-08-25HE,train,high,5.2257,90.18,5,13312,10240,512,1.0,,34
R25-264-33_x017408_y019456,R25-264-33,MASH,unknown,2025-08-25HE,train,upper,3.9195,74.69,6,17408,19456,512,1.0,,35
R25-264-12_x007680_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,mid,1.2574,67.86,1,7680,14848,512,1.0,,36
R25-264-13_x037376_y018944,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,2.3727,66.04,2,37376,18944,512,1.0,,37
R26-122-17_HE_101_x024576_y016896,R26-122-17_HE_101,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,6.0445,75.0,27,24576,16896,512,0.933,,38
R26-122-23_HE_91_x025600_y014336,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,3.4573,8.93,22,25600,14336,512,1.0,,39
R25-264-13_x024064_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,upper,3.6607,89.31,2,24064,18432,512,1.0,,40
R25-264-11_x009216_y011776,R25-264-11,MASH,unknown,2025-08-25HE,train,anchor,0.18,22.09,1,9216,11776,512,1.0,,41
R25-264-31_x015360_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,mid,2.2871,52.29,1,15360,16384,512,1.0,,42
R25-264-37_x019456_y008192,R25-264-37,MASH,unknown,2025-08-25HE,train,anchor,0.7303,14.58,2,19456,8192,512,1.0,,43
R25-264-37_x016896_y009216,R25-264-37,MASH,unknown,2025-08-25HE,train,high,6.3619,95.83,5,16896,9216,512,1.0,,44
R25-264-12_x027136_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,,0.0,0,27136,14336,512,1.0,,45
R25-264-11_x017408_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,low,-1.0245,9.2,1,17408,10752,512,1.0,,46
R25-264-32_x007680_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,3.5728,85.83,4,7680,19456,512,1.0,,47
R25-264-12_x020480_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,upper,1.6094,73.21,1,20480,14336,512,1.0,,48
R25-264-32_x045568_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,upper,3.4751,84.25,4,45568,19456,512,1.0,,49
R25-264-12_x034304_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,upper,1.8242,75.0,1,34304,14336,512,1.0,,50
R25-264-33_x028672_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,mid,2.1095,39.51,7,28672,17920,512,1.0,,51
R25-264-31_x025088_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,high,6.1931,97.39,3,25088,16384,512,0.8613,,52
R25-264-33_x013824_y018944,R25-264-33,MASH,unknown,2025-08-25HE,train,mid,1.7393,30.86,2,13824,18944,512,1.0,,53
R25-264-31_x006656_y016384,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,3.7536,76.47,4,6656,16384,512,1.0,,54
R25-264-33_x009216_y018432,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.3757,91.98,6,9216,18432,512,1.0,,55
R25-264-33_x016896_y018432,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,3.6269,70.99,3,16896,18432,512,1.0,,56
R25-264-32_x028160_y018944,R25-264-32,MASH,unknown,2025-08-25HE,test,high,4.0602,91.34,4,28160,18944,512,1.0,,57
R25-264-32_x033280_y019968,R25-264-32,MASH,unknown,2025-08-25HE,test,anchor,-1.2292,15.75,1,33280,19968,512,1.0,,58
R25-264-11_x015872_y010752,R25-264-11,MASH,unknown,2025-08-25HE,train,mid,2.6085,54.6,1,15872,10752,512,1.0,,59
R26-122-36_HE_95_x005120_y011776,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,high,6.6869,90.91,31,5120,11776,512,1.0,,60
R25-264-34_x007168_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,upper,2.7274,78.31,3,7168,10240,512,0.9936,,61
R25-264-33_x018944_y019968,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,2.1823,41.36,5,18944,19968,512,1.0,,62
R25-264-12_x037376_y014336,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,-1.6086,16.96,1,37376,14336,512,1.0,,63
R25-264-32_x030208_y019456,R25-264-32,MASH,unknown,2025-08-25HE,test,low,,0.0,0,30208,19456,512,1.0,,64
R26-122-10_HE_79_x016896_y009728,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,5.7283,80.95,19,16896,9728,512,1.0,,65
R25-264-33_x015360_y017920,R25-264-33,MASH,unknown,2025-08-25HE,train,anchor,5.4167,93.83,5,15360,17920,512,1.0,,66
R26-122-10_HE_79_x011264_y009728,R26-122-10_HE_79,CCl4,unknown,2026-04-20_CCl4_HE,train,upper,5.6947,80.61,15,11264,9728,512,1.0,,67
R25-264-11_x039936_y009728,R25-264-11,MASH,unknown,2025-08-25HE,train,mid,1.3091,34.97,2,39936,9728,512,1.0,,68
R26-122-23_HE_91_x028160_y014336,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,mid,5.9807,67.7,24,28160,14336,512,1.0,,69
R25-264-34_x009216_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,mid,1.7757,60.84,1,9216,10240,512,1.0,,70
R25-264-33_x022016_y019456,R25-264-33,MASH,unknown,2025-08-25HE,train,high,5.1335,90.74,2,22016,19456,512,1.0,,71
R25-264-1_x020992_y022016,R25-264-1,MASH,unknown,2025-08-25HE,train,low,-3.9084,5.28,1,20992,22016,512,1.0,,72
R25-264-31_x027136_y016896,R25-264-31,MASH,unknown,2025-08-25HE,test,upper,3.5655,73.86,2,27136,16896,512,1.0,,73
R25-264-13_x042496_y018432,R25-264-13,MASH,unknown,2025-08-25HE,train,high,5.3028,98.74,2,42496,18432,512,1.0,,74
R25-264-34_x014336_y009728,R25-264-34,MASH,unknown,2025-08-25HE,train,mid,0.8937,35.54,3,14336,9728,512,1.0,,75
R25-264-34_x019968_y010240,R25-264-34,MASH,unknown,2025-08-25HE,train,anchor,-0.3915,16.27,1,19968,10240,512,1.0,,76
