order,tile_id,slide,image,context,tile_um,context_um,core_box,dup_of
1,R26-122-23_HE_91_x004608_y015360,R26-122-23_HE_91,images/R26-122-23_HE_91_x004608_y015360.png,context/R26-122-23_HE_91_x004608_y015360.jpg,253.6,760.8,341 341 341 341,
2,R25-264-12_x027136_y014848,R25-264-12,images/R25-264-12_x027136_y014848.png,context/R25-264-12_x027136_y014848.jpg,253.6,760.8,341 341 341 341,
3,R25-264-36_x010752_y007680,R25-264-36,images/R25-264-36_x010752_y007680.png,context/R25-264-36_x010752_y007680.jpg,253.6,760.8,341 341 341 341,
4,R25-264-33_x034304_y014848,R25-264-33,images/R25-264-33_x034304_y014848.png,context/R25-264-33_x034304_y014848.jpg,253.6,760.8,341 341 341 341,
5,R25-264-36_x020992_y020992,R25-264-36,images/R25-264-36_x020992_y020992.png,context/R25-264-36_x020992_y020992.jpg,253.6,760.8,341 341 341 341,
6,R25-264-10_x020992_y011264,R25-264-10,images/R25-264-10_x020992_y011264.png,context/R25-264-10_x020992_y011264.jpg,253.6,760.8,341 341 341 341,
7,R25-264-12_x043008_y014848,R25-264-12,images/R25-264-12_x043008_y014848.png,context/R25-264-12_x043008_y014848.jpg,253.6,760.8,341 341 341 341,
8,R25-264-30_x029696_y026624,R25-264-30,images/R25-264-30_x029696_y026624.png,context/R25-264-30_x029696_y026624.jpg,253.6,760.8,341 341 341 341,
9,R25-264-37_x014336_y020992,R25-264-37,images/R25-264-37_x014336_y020992.png,context/R25-264-37_x014336_y020992.jpg,253.6,760.8,341 341 341 341,
10,R25-264-35_x029696_y015360,R25-264-35,images/R25-264-35_x029696_y015360.png,context/R25-264-35_x029696_y015360.jpg,253.6,760.8,341 341 341 341,
11,R26-122-36_HE_95_x012800_y013824,R26-122-36_HE_95,images/R26-122-36_HE_95_x012800_y013824.png,context/R26-122-36_HE_95_x012800_y013824.jpg,253.6,760.8,341 341 341 341,
12,R25-264-13_x015360_y019456,R25-264-13,images/R25-264-13_x015360_y019456.png,context/R25-264-13_x015360_y019456.jpg,253.6,760.8,341 341 341 341,
13,R25-264-36_x022528_y011776,R25-264-36,images/R25-264-36_x022528_y011776.png,context/R25-264-36_x022528_y011776.jpg,253.6,760.8,341 341 341 341,
14,R25-264-32_x004608_y011264,R25-264-32,images/R25-264-32_x004608_y011264.png,context/R25-264-32_x004608_y011264.jpg,253.6,760.8,341 341 341 341,
15,R25-264-32_x035840_y018944,R25-264-32,images/R25-264-32_x035840_y018944.png,context/R25-264-32_x035840_y018944.jpg,253.6,760.8,341 341 341 341,
16,R25-264-31_x016896_y019968,R25-264-31,images/R25-264-31_x016896_y019968.png,context/R25-264-31_x016896_y019968.jpg,253.6,760.8,341 341 341 341,
17,R26-122-19_HE_103_x003584_y014336,R26-122-19_HE_103,images/R26-122-19_HE_103_x003584_y014336.png,context/R26-122-19_HE_103_x003584_y014336.jpg,253.6,760.8,341 341 341 341,
18,R25-264-10_x008192_y011776,R25-264-10,images/R25-264-10_x008192_y011776.png,context/R25-264-10_x008192_y011776.jpg,253.6,760.8,341 341 341 341,
