tile_id,slide,cohort,diet,batch,split,band,score,score_pct,n_scored_cells,x,y,size,tissue_fraction,frame_tiles,frame_patches,dup_of,order
R26-122-23_HE_91_x004608_y015360,R26-122-23_HE_91,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,1.682,22.91,4,4608,15360,512,1.0,,,,1
R25-264-12_x027136_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,anchor,-0.5913,31.17,2,27136,14848,512,1.0,,,,2
R25-264-36_x010752_y007680,R25-264-36,MASH,unknown,2025-08-25HE,train,high,5.9728,94.4,2,10752,7680,512,1.0,,,,3
R25-264-33_x034304_y014848,R25-264-33,MASH,unknown,2025-08-25HE,train,mid,2.1704,45.59,7,34304,14848,512,1.0,,,,4
R25-264-36_x020992_y020992,R25-264-36,MASH,unknown,2025-08-25HE,train,high,5.432,92.72,4,20992,20992,512,1.0,,,,5
R25-264-10_x020992_y011264,R25-264-10,MASH,unknown,2025-08-25HE,test,high,7.2566,97.73,1,20992,11264,512,1.0,,,,6
R25-264-12_x043008_y014848,R25-264-12,MASH,unknown,2025-08-25HE,test,low,,0.0,0,43008,14848,512,1.0,,,,7
R25-264-30_x029696_y026624,R25-264-30,MASH,unknown,2025-08-25HE,train,high,4.5398,92.09,1,29696,26624,512,1.0,,,,8
R25-264-37_x014336_y020992,R25-264-37,MASH,unknown,2025-08-25HE,train,high,8.1441,99.23,8,14336,20992,512,1.0,,,,9
R25-264-35_x029696_y015360,R25-264-35,MASH,unknown,2025-08-25HE,test,high,5.1584,90.06,2,29696,15360,512,1.0,,,,10
R26-122-36_HE_95_x012800_y013824,R26-122-36_HE_95,CCl4,unknown,2026-04-20_CCl4_HE,train,anchor,2.7797,51.12,6,12800,13824,512,1.0,,,,11
R25-264-13_x015360_y019456,R25-264-13,MASH,unknown,2025-08-25HE,train,anchor,0.9224,36.74,3,15360,19456,512,1.0,,,,12
R25-264-36_x022528_y011776,R25-264-36,MASH,unknown,2025-08-25HE,train,upper,4.0342,73.39,7,22528,11776,512,1.0,,,,13
R25-264-32_x004608_y011264,R25-264-32,MASH,unknown,2025-08-25HE,test,low,,0.0,0,4608,11264,512,1.0,,,,14
R25-264-32_x035840_y018944,R25-264-32,MASH,unknown,2025-08-25HE,test,low,,0.0,0,35840,18944,512,1.0,,,,15
R25-264-31_x016896_y019968,R25-264-31,MASH,unknown,2025-08-25HE,test,anchor,5.3327,92.64,2,16896,19968,512,1.0,,,,16
R26-122-19_HE_103_x003584_y014336,R26-122-19_HE_103,CCl4,unknown,2026-04-20_CCl4_HE,train,low,1.3173,21.26,3,3584,14336,512,1.0,,,,17
R25-264-10_x008192_y011776,R25-264-10,MASH,unknown,2025-08-25HE,test,mid,3.4911,68.47,7,8192,11776,512,1.0,,,,18
R25-264-3_x010752_y007680,R25-264-3,MASH,unknown,2025-08-25HE,train,upper,3.0984,71.96,2,10752,7680,512,1.0,,,,19
