field_id,tile_id,slide,cohort,band,split,score,score_pct,n_scored_cells,x,y,repeat_of_tile
f001,R25-264-33_x013824_y019968,R25-264-33,MASH,upper,train,4.853,87.65,2,13824,19968,
f002,R25-264-37_x026624_y008704,R25-264-37,MASH,high,train,5.7621,91.67,8,26624,8704,
f003,R25-264-33_x018944_y019968,R25-264-33,MASH,anchor,train,2.1823,41.36,5,18944,19968,
f004,R25-264-33_x013824_y018944,R25-264-33,MASH,mid,train,1.7393,30.86,2,13824,18944,
f005,R25-264-37_x030208_y009216,R25-264-37,MASH,anchor,train,6.2377,94.27,9,30208,9216,
f006,R25-264-31_x006656_y016384,R25-264-31,MASH,anchor,test,3.7536,76.47,4,6656,16384,
f007,R25-264-13_x025600_y019456,R25-264-13,MASH,mid,train,0.8096,39.62,1,25600,19456,
f008,R26-122-36_HE_95_x019456_y014336,R26-122-36_HE_95,CCl4,anchor,train,9.145,99.27,9,19456,14336,
f009,R25-264-37_x020480_y008704,R25-264-37,MASH,mid,train,1.9047,30.73,3,20480,8704,
f010,R25-264-12_x022528_y015360,R25-264-12,MASH,high,test,4.2887,91.96,2,22528,15360,
f011,R25-264-1_x016384_y020480,R25-264-1,MASH,anchor,train,0.0783,43.5,2,16384,20480,
f012,R25-264-34_x035328_y010240,R25-264-34,MASH,anchor,train,4.0921,93.98,1,35328,10240,
f013,R25-264-32_x034304_y019456,R25-264-32,MASH,high,test,4.1677,92.13,4,34304,19456,
f014,R26-122-23_HE_91_x014848_y014848,R26-122-23_HE_91,CCl4,upper,train,6.3132,73.88,25,14848,14848,
f015,R25-264-32_x019968_y018944,R25-264-32,MASH,mid,test,-0.0964,33.07,1,19968,18944,
f016,R25-264-33_x017408_y019456,R25-264-33,MASH,upper,train,3.9195,74.69,6,17408,19456,
f017,R25-264-31_x010240_y015872,R25-264-31,MASH,upper,test,3.2981,70.59,2,10240,15872,
f018,R25-264-1_x018432_y020992,R25-264-1,MASH,high,train,5.5133,98.78,3,18432,20992,
f019,R25-264-31_x027136_y015872,R25-264-31,MASH,high,test,7.4844,99.35,4,27136,15872,
f020,R25-264-32_x021504_y019968,R25-264-32,MASH,high,test,4.715,92.91,3,21504,19968,
f021,R26-122-17_HE_101_x009728_y016896,R26-122-17_HE_101,CCl4,high,train,9.4014,98.55,14,9728,16896,
f022,R25-264-12_x027136_y014336,R25-264-12,MASH,anchor,test,,0.0,0,27136,14336,
f023,R25-264-1_x020992_y022016,R25-264-1,MASH,low,train,-3.9084,5.28,1,20992,22016,
f024,R25-264-11_x039936_y009728,R25-264-11,MASH,mid,train,1.3091,34.97,2,39936,9728,
f025,R26-122-10_HE_79_x012800_y010752,R26-122-10_HE_79,CCl4,low,train,2.1468,6.46,19,12800,10752,
f026,R26-122-10_HE_79_x012288_y008704,R26-122-10_HE_79,CCl4,high,train,7.3173,95.24,18,12288,8704,
f027,R25-264-31_x028160_y015360,R25-264-31,MASH,high,test,5.0724,92.16,1,28160,15360,
f028,R25-264-13_x014336_y019456,R25-264-13,MASH,upper,train,3.5319,87.42,6,14336,19456,
f029,R25-264-34_x015872_y010752,R25-264-34,MASH,high,train,3.555,90.36,2,15872,10752,
f030,R26-122-10_HE_79_x017920_y008704,R26-122-10_HE_79,CCl4,anchor,train,2.105,5.44,11,17920,8704,
f031,R25-264-1_x016384_y021504,R25-264-1,MASH,high,train,3.2202,91.87,4,16384,21504,
f032,R25-264-33_x029696_y017920,R25-264-33,MASH,high,train,7.0689,98.15,4,29696,17920,
f033,R25-264-33_x012288_y017920,R25-264-33,MASH,low,train,,0.0,0,12288,17920,
f034,R25-264-31_x017408_y015872,R25-264-31,MASH,anchor,test,,0.0,0,17408,15872,
f035,R25-264-32_x023552_y019456,R25-264-32,MASH,high,test,5.7022,96.06,3,23552,19456,
f036,R25-264-1_x030208_y020992,R25-264-1,MASH,anchor,train,0.0661,42.68,6,30208,20992,
f037,R26-122-2_HE_71_x010240_y010240,R26-122-2_HE_71,CCl4,anchor,train,4.174,26.33,25,10240,10240,
f038,R25-264-11_x014336_y010240,R25-264-11,MASH,anchor,train,5.5757,92.64,4,14336,10240,
f039,R25-264-11_x021504_y010240,R25-264-11,MASH,high,train,6.3964,95.09,2,21504,10240,
f040,R25-264-31_x007680_y016384,R25-264-31,MASH,low,test,0.2568,17.65,1,7680,16384,
f041,R25-264-13_x048640_y018432,R25-264-13,MASH,anchor,train,0.1877,30.19,2,48640,18432,
f042,R26-122-23_HE_91_x028160_y014336,R26-122-23_HE_91,CCl4,mid,train,5.9807,67.7,24,28160,14336,
f043,R26-122-2_HE_71_x005120_y010240,R26-122-2_HE_71,CCl4,high,train,7.3537,94.31,33,5120,10240,
f044,R26-122-2_HE_71_x015872_y010240,R26-122-2_HE_71,CCl4,low,train,3.9874,23.84,25,15872,10240,
f045,R25-264-37_x015360_y009216,R25-264-37,MASH,low,train,0.2607,8.33,1,15360,9216,
f046,R25-264-31_x011776_y016384,R25-264-31,MASH,low,test,-0.0247,13.73,1,11776,16384,
f047,R26-122-10_HE_79_x025088_y008192,R26-122-10_HE_79,CCl4,upper,train,5.6641,79.59,23,25088,8192,
f048,R25-264-32_x018944_y019968,R25-264-32,MASH,upper,test,3.7169,88.19,3,18944,19968,
f049,R26-122-17_HE_101_x026112_y016896,R26-122-17_HE_101,CCl4,upper,train,6.1675,78.99,22,26112,16896,
f050,R25-264-1_x028672_y023040,R25-264-1,MASH,high,train,3.8086,94.72,13,28672,23040,
f051,R25-264-37_x032768_y007680,R25-264-37,MASH,upper,train,4.8418,82.29,5,32768,7680,
