batch,slide,local,scored,path
2025-03-07_Jaya HE,R25-079_1_HE,no,yes,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_1_HE.svs
2025-03-07_Jaya HE,R25-079_3_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_3_HE.svs
2025-03-07_Jaya HE,R25-079_5_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_5_HE.svs
2025-03-07_Jaya HE,R25-079_7_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_7_HE.svs
2025-03-07_Jaya HE,R25-079_10_HE,no,yes,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_10_HE.svs
2025-03-07_Jaya HE,R25-079_12_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_12_HE.svs
2025-03-07_Jaya HE,R25-079_14_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_14_HE.svs
2025-03-07_Jaya HE,R25-079_16_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_16_HE.svs
2025-03-07_Jaya HE,R25-079_18_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_18_HE.svs
2025-03-07_Jaya HE,R25-079_20_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_20_HE.svs
2025-03-07_Jaya HE,R25-079_23_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_23_HE.svs
2025-03-07_Jaya HE,R25-079_25_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_25_HE.svs
2025-03-07_Jaya HE,R25-079_27_HE,no,no,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_27_HE.svs
2025-03-07_Jaya HE,R25-079_29_HE,no,yes,/scratch/davidg25/slides/2025-03-07_Jaya HE/R25-079_29_HE.svs
2025-03-28_Celina 656D H&E,R22-354_1_WT-CHOW1,no,yes,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_1_WT-CHOW1.svs
2025-03-28_Celina 656D H&E,R22-354_3_WT-CHOW3,no,no,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_3_WT-CHOW3.svs
2025-03-28_Celina 656D H&E,R22-354_7_WT-NASH1,no,no,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_7_WT-NASH1.svs
2025-03-28_Celina 656D H&E,R22-354_8_WT-NASH2,no,no,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_8_WT-NASH2.svs
2025-03-28_Celina 656D H&E,R22-354_16_ACLY656 CHOW1,no,yes,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_16_ACLY656 CHOW1.svs
2025-03-28_Celina 656D H&E,R22-354_19_ACLY656 CHOW4,no,yes,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_19_ACLY656 CHOW4.svs
2025-03-28_Celina 656D H&E,R22-354_23_ACLY656 NASH4,no,yes,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_23_ACLY656 NASH4.svs
2025-03-28_Celina 656D H&E,R22-354_25_ACLY656 NASH 6,no,yes,/scratch/davidg25/slides/2025-03-28_Celina 656D H&E/R22-354_25_ACLY656 NASH 6.svs
2025-04-29HE,R25-151_1_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_1_HE.svs
2025-04-29HE,R25-151_4_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_4_HE.svs
2025-04-29HE,R25-151_7_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_7_HE.svs
2025-04-29HE,R25-151_11_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_11_HE.svs
2025-04-29HE,R25-151_14_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_14_HE.svs
2025-04-29HE,R25-151_17_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_17_HE.svs
2025-04-29HE,R25-151_20_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_20_HE.svs
2025-04-29HE,R25-151_24_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_24_HE.svs
2025-04-29HE,R25-151_27_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_27_HE.svs
2025-04-29HE,R25-151_30_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_30_HE.svs
2025-04-29HE,R25-151_33_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151_33_HE.svs
2025-04-29HE,R25-151-37_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151-37_HE.svs
2025-04-29HE,R25-151-41_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151-41_HE.svs
2025-04-29HE,R25-151-44_HE,no,no,/scratch/davidg25/slides/2025-04-29HE/R25-151-44_HE.svs
2025-07-09_Evelyn_HE,R25-223-1_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-1_HE.svs
2025-07-09_Evelyn_HE,R25-223-3_HE,no,yes,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-3_HE.svs
2025-07-09_Evelyn_HE,R25-223-4_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-4_HE.svs
2025-07-09_Evelyn_HE,R25-223-6_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-6_HE.svs
2025-07-09_Evelyn_HE,R25-223-8_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-8_HE.svs
2025-07-09_Evelyn_HE,R25-223-9_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-9_HE.svs
2025-07-09_Evelyn_HE,R25-223-11_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-11_HE.svs
2025-07-09_Evelyn_HE,R25-223-13_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-13_HE.svs
2025-07-09_Evelyn_HE,R25-223-15_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-15_HE.svs
2025-07-09_Evelyn_HE,R25-223-16_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-16_HE.svs
2025-07-09_Evelyn_HE,R25-223-18_HE,no,yes,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-18_HE.svs
2025-07-09_Evelyn_HE,R25-223-20_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-20_HE.svs
2025-07-09_Evelyn_HE,R25-223-21_HE,no,yes,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-21_HE.svs
2025-07-09_Evelyn_HE,R25-223-23_HE,no,no,/scratch/davidg25/slides/2025-07-09_Evelyn_HE/R25-223-23_HE.svs
2025-08-25HE,R25-264-1,yes,yes,/scratch/davidg25/slides/2025-08-25HE/R25-264-1.svs
2025-08-25HE,R25-264-4,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-4.svs
2025-08-25HE,R25-264-7,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-7.svs
2025-08-25HE,R25-264-10,yes,yes,/scratch/davidg25/slides/2025-08-25HE/R25-264-10.svs
2025-08-25HE,R25-264-13,yes,yes,/scratch/davidg25/slides/2025-08-25HE/R25-264-13.svs
2025-08-25HE,R25-264-16,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-16.svs
2025-08-25HE,R25-264-19,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-19.svs
2025-08-25HE,R25-264-22,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-22.svs
2025-08-25HE,R25-264-25,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-25.svs
2025-08-25HE,R25-264-28,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-28.svs
2025-08-25HE,R25-264-31,yes,yes,/scratch/davidg25/slides/2025-08-25HE/R25-264-31.svs
2025-08-25HE,R25-264-34,yes,yes,/scratch/davidg25/slides/2025-08-25HE/R25-264-34.svs
2025-08-25HE,R25-264-37,yes,yes,/scratch/davidg25/slides/2025-08-25HE/R25-264-37.svs
2025-08-25HE,R25-264-40,no,no,/scratch/davidg25/slides/2025-08-25HE/R25-264-40.svs
2025-09-24HE,R22--063-1_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-1_HE.svs
2025-09-24HE,R22--063-3_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-3_HE.svs
2025-09-24HE,R22--063-5_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-5_HE.svs
2025-09-24HE,R22--063-7_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-7_HE.svs
2025-09-24HE,R22--063-8_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-8_HE.svs
2025-09-24HE,R22--063-10_HE,no,yes,/scratch/davidg25/slides/2025-09-24HE/R22--063-10_HE.svs
2025-09-24HE,R22--063-12_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-12_HE.svs
2025-09-24HE,R22-063-14_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22-063-14_HE.svs
2025-09-24HE,R22--063-16_HE,no,yes,/scratch/davidg25/slides/2025-09-24HE/R22--063-16_HE.svs
2025-09-24HE,R22--063-18_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-18_HE.svs
2025-09-24HE,R22--063-19_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-19_HE.svs
2025-09-24HE,R22--063-21_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-21_HE.svs
2025-09-24HE,R22--063-23_HE,no,no,/scratch/davidg25/slides/2025-09-24HE/R22--063-23_HE.svs
2025-09-24HE,R22--063-25_HE,no,yes,/scratch/davidg25/slides/2025-09-24HE/R22--063-25_HE.svs
2025-11-14HE,R25-345-1,no,yes,/scratch/davidg25/slides/2025-11-14HE/R25-345-1.svs
2025-11-14HE,R25-345-3,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-3.svs
2025-11-14HE,R25-345-5,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-5.svs
2025-11-14HE,R25-345-6,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-6.svs
2025-11-14HE,R25-345-8,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-8.svs
2025-11-14HE,R25-345-10,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-10.svs
2025-11-14HE,R25-345-12,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-12.svs
2025-11-14HE,R25-345-13,no,yes,/scratch/davidg25/slides/2025-11-14HE/R25-345-13.svs
2025-11-14HE,R25-345-15,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-15.svs
2025-11-14HE,R25-345-17,no,yes,/scratch/davidg25/slides/2025-11-14HE/R25-345-17.svs
2025-11-14HE,R25-345-19,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-19.svs
2025-11-14HE,R25-345-20,no,yes,/scratch/davidg25/slides/2025-11-14HE/R25-345-20.svs
2025-11-14HE,R25-345-22,no,no,/scratch/davidg25/slides/2025-11-14HE/R25-345-22.svs
2025-11-14HE,R25-345-24,no,yes,/scratch/davidg25/slides/2025-11-14HE/R25-345-24.svs
2026-04-20_CCl4_HE,R26-122-1_HE_70,yes,yes,/scratch/davidg25/slides/R26-122-1_HE_70.svs
2026-04-20_CCl4_HE,R26-122-4_HE_73,yes,no,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-4_HE_73.svs
2026-04-20_CCl4_HE,R26-122-7_HE_76,yes,no,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-7_HE_76.svs
2026-04-20_CCl4_HE,R26-122-10_HE_79,yes,yes,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-10_HE_79.svs
2026-04-20_CCl4_HE,R26-122-12_HE_81,yes,yes,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-12_HE_81.svs
2026-04-20_CCl4_HE,R26-122-15_HE_85,yes,yes,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-15_HE_85.svs
2026-04-20_CCl4_HE,R26-122-18_HE_102,yes,no,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-18_HE_102.svs
2026-04-20_CCl4_HE,R26-122-21_HE_105,yes,no,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-21_HE_105.svs
2026-04-20_CCl4_HE,R26-122-24_HE_87,yes,no,/scratch/davidg25/slides/2026-04-20_CCl4_HE/R26-122-24_HE_87.svs
