blind_id,panel,slide,cohort,batch,split,x,y,present_order
s678b1f,1,R25-264-1,MASH,2025-08-25HE,train,24064,22016,22
s678b1f,2,R25-264-1,MASH,2025-08-25HE,train,26112,21504,22
s678b1f,3,R25-264-1,MASH,2025-08-25HE,train,30208,20992,22
s678b1f,4,R25-264-1,MASH,2025-08-25HE,train,5120,24576,22
s678b1f,5,R25-264-1,MASH,2025-08-25HE,train,9728,22528,22
s678b1f,6,R25-264-1,MASH,2025-08-25HE,train,20480,23552,22
s678b1f,7,R25-264-1,MASH,2025-08-25HE,train,31744,22016,22
s678b1f,8,R25-264-1,MASH,2025-08-25HE,train,8704,24576,22
s678b1f,9,R25-264-1,MASH,2025-08-25HE,train,7680,24576,22
s678b1f,10,R25-264-1,MASH,2025-08-25HE,train,28160,24064,22
s678b1f,11,R25-264-1,MASH,2025-08-25HE,train,10240,23040,22
s678b1f,12,R25-264-1,MASH,2025-08-25HE,train,15872,23040,22
s678b1f,13,R25-264-1,MASH,2025-08-25HE,train,16384,23552,22
s678b1f,14,R25-264-1,MASH,2025-08-25HE,train,33792,24064,22
s678b1f,15,R25-264-1,MASH,2025-08-25HE,train,7680,21504,22
s678b1f,16,R25-264-1,MASH,2025-08-25HE,train,6656,23040,22
s678b1f,17,R25-264-1,MASH,2025-08-25HE,train,30208,22528,22
s678b1f,18,R25-264-1,MASH,2025-08-25HE,train,18432,20992,22
s678b1f,19,R25-264-1,MASH,2025-08-25HE,train,5632,23040,22
s678b1f,20,R25-264-1,MASH,2025-08-25HE,train,5632,20992,22
s678b1f,21,R25-264-1,MASH,2025-08-25HE,train,8192,20992,22
s678b1f,22,R25-264-1,MASH,2025-08-25HE,train,13312,24064,22
s678b1f,23,R25-264-1,MASH,2025-08-25HE,train,17920,22016,22
s678b1f,24,R25-264-1,MASH,2025-08-25HE,train,13312,20992,22
s693977,1,R25-264-10,MASH,2025-08-25HE,test,8704,22016,31
s693977,2,R25-264-10,MASH,2025-08-25HE,test,15872,22016,31
s693977,3,R25-264-10,MASH,2025-08-25HE,test,12288,22528,31
s693977,4,R25-264-10,MASH,2025-08-25HE,test,3584,16384,31
s693977,5,R25-264-10,MASH,2025-08-25HE,test,10240,6656,31
s693977,6,R25-264-10,MASH,2025-08-25HE,test,12288,6656,31
s693977,7,R25-264-10,MASH,2025-08-25HE,test,24064,6656,31
s693977,8,R25-264-10,MASH,2025-08-25HE,test,19968,6656,31
s693977,9,R25-264-10,MASH,2025-08-25HE,test,33792,11776,31
s693977,10,R25-264-10,MASH,2025-08-25HE,test,9216,16384,31
s693977,11,R25-264-10,MASH,2025-08-25HE,test,32768,6656,31
s693977,12,R25-264-10,MASH,2025-08-25HE,test,5120,12288,31
s693977,13,R25-264-10,MASH,2025-08-25HE,test,28672,11264,31
s693977,14,R25-264-10,MASH,2025-08-25HE,test,26112,6144,31
s693977,15,R25-264-10,MASH,2025-08-25HE,test,30720,11776,31
s693977,16,R25-264-10,MASH,2025-08-25HE,test,29184,6656,31
s693977,17,R25-264-10,MASH,2025-08-25HE,test,12800,16896,31
s693977,18,R25-264-10,MASH,2025-08-25HE,test,22016,6656,31
s693977,19,R25-264-10,MASH,2025-08-25HE,test,6656,22528,31
s693977,20,R25-264-10,MASH,2025-08-25HE,test,11776,22016,31
s693977,21,R25-264-10,MASH,2025-08-25HE,test,25088,22016,31
s693977,22,R25-264-10,MASH,2025-08-25HE,test,28160,11264,31
s693977,23,R25-264-10,MASH,2025-08-25HE,test,33792,15872,31
s693977,24,R25-264-10,MASH,2025-08-25HE,test,22528,11264,31
s62495a,1,R25-264-11,MASH,2025-08-25HE,train,7680,10752,3
s62495a,2,R25-264-11,MASH,2025-08-25HE,train,40960,9728,3
s62495a,3,R25-264-11,MASH,2025-08-25HE,train,14848,11264,3
s62495a,4,R25-264-11,MASH,2025-08-25HE,train,30208,12288,3
s62495a,5,R25-264-11,MASH,2025-08-25HE,train,25600,10240,3
s62495a,6,R25-264-11,MASH,2025-08-25HE,train,11776,11776,3
s62495a,7,R25-264-11,MASH,2025-08-25HE,train,4096,10752,3
s62495a,8,R25-264-11,MASH,2025-08-25HE,train,37376,12288,3
s62495a,9,R25-264-11,MASH,2025-08-25HE,train,20992,11264,3
s62495a,10,R25-264-11,MASH,2025-08-25HE,train,27136,26624,3
s62495a,11,R25-264-11,MASH,2025-08-25HE,train,27136,11264,3
s62495a,12,R25-264-11,MASH,2025-08-25HE,train,7680,12288,3
s62495a,13,R25-264-11,MASH,2025-08-25HE,train,33280,26112,3
s62495a,14,R25-264-11,MASH,2025-08-25HE,train,15872,12800,3
s62495a,15,R25-264-11,MASH,2025-08-25HE,train,9728,26624,3
s62495a,16,R25-264-11,MASH,2025-08-25HE,train,23040,26112,3
s62495a,17,R25-264-11,MASH,2025-08-25HE,train,30208,11776,3
s62495a,18,R25-264-11,MASH,2025-08-25HE,train,3584,12800,3
s62495a,19,R25-264-11,MASH,2025-08-25HE,train,26112,12288,3
s62495a,20,R25-264-11,MASH,2025-08-25HE,train,15872,26624,3
s62495a,21,R25-264-11,MASH,2025-08-25HE,train,5120,12288,3
s62495a,22,R25-264-11,MASH,2025-08-25HE,train,27136,26112,3
s62495a,23,R25-264-11,MASH,2025-08-25HE,train,8704,10752,3
s62495a,24,R25-264-11,MASH,2025-08-25HE,train,32256,26624,3
s1899c2,1,R25-264-12,MASH,2025-08-25HE,test,26112,11264,19
s1899c2,2,R25-264-12,MASH,2025-08-25HE,test,19456,10752,19
s1899c2,3,R25-264-12,MASH,2025-08-25HE,test,33280,10752,19
s1899c2,4,R25-264-12,MASH,2025-08-25HE,test,45568,14848,19
s1899c2,5,R25-264-12,MASH,2025-08-25HE,test,40960,10752,19
s1899c2,6,R25-264-12,MASH,2025-08-25HE,test,29696,10752,19
s1899c2,7,R25-264-12,MASH,2025-08-25HE,test,23552,10752,19
s1899c2,8,R25-264-12,MASH,2025-08-25HE,test,7680,15360,19
s1899c2,9,R25-264-12,MASH,2025-08-25HE,test,40448,10752,19
s1899c2,10,R25-264-12,MASH,2025-08-25HE,test,24064,22016,19
s1899c2,11,R25-264-12,MASH,2025-08-25HE,test,11264,11264,19
s1899c2,12,R25-264-12,MASH,2025-08-25HE,test,23552,15360,19
s1899c2,13,R25-264-12,MASH,2025-08-25HE,test,37376,22016,19
s1899c2,14,R25-264-12,MASH,2025-08-25HE,test,31232,14848,19
s1899c2,15,R25-264-12,MASH,2025-08-25HE,test,40960,22016,19
s1899c2,16,R25-264-12,MASH,2025-08-25HE,test,12288,14848,19
s1899c2,17,R25-264-12,MASH,2025-08-25HE,test,17408,14848,19
s1899c2,18,R25-264-12,MASH,2025-08-25HE,test,18432,14848,19
s1899c2,19,R25-264-12,MASH,2025-08-25HE,test,41472,14848,19
s1899c2,20,R25-264-12,MASH,2025-08-25HE,test,11264,22016,19
s1899c2,21,R25-264-12,MASH,2025-08-25HE,test,20480,14848,19
s1899c2,22,R25-264-12,MASH,2025-08-25HE,test,31232,22016,19
s1899c2,23,R25-264-12,MASH,2025-08-25HE,test,27136,11264,19
s1899c2,24,R25-264-12,MASH,2025-08-25HE,test,28160,22016,19
sf4093d,1,R25-264-13,MASH,2025-08-25HE,train,34816,11264,32
sf4093d,2,R25-264-13,MASH,2025-08-25HE,train,14848,18944,32
sf4093d,3,R25-264-13,MASH,2025-08-25HE,train,16896,19456,32
sf4093d,4,R25-264-13,MASH,2025-08-25HE,train,14336,11776,32
sf4093d,5,R25-264-13,MASH,2025-08-25HE,train,21504,11776,32
sf4093d,6,R25-264-13,MASH,2025-08-25HE,train,42496,18944,32
sf4093d,7,R25-264-13,MASH,2025-08-25HE,train,13824,23552,32
sf4093d,8,R25-264-13,MASH,2025-08-25HE,train,42496,11264,32
sf4093d,9,R25-264-13,MASH,2025-08-25HE,train,13312,11776,32
sf4093d,10,R25-264-13,MASH,2025-08-25HE,train,26624,11264,32
sf4093d,11,R25-264-13,MASH,2025-08-25HE,train,30720,11264,32
sf4093d,12,R25-264-13,MASH,2025-08-25HE,train,44032,11264,32
sf4093d,13,R25-264-13,MASH,2025-08-25HE,train,24576,11264,32
sf4093d,14,R25-264-13,MASH,2025-08-25HE,train,3072,18944,32
sf4093d,15,R25-264-13,MASH,2025-08-25HE,train,36864,18944,32
sf4093d,16,R25-264-13,MASH,2025-08-25HE,train,3584,23552,32
sf4093d,17,R25-264-13,MASH,2025-08-25HE,train,25600,23040,32
sf4093d,18,R25-264-13,MASH,2025-08-25HE,train,26624,18944,32
sf4093d,19,R25-264-13,MASH,2025-08-25HE,train,45568,18944,32
sf4093d,20,R25-264-13,MASH,2025-08-25HE,train,8704,11776,32
sf4093d,21,R25-264-13,MASH,2025-08-25HE,train,18944,18432,32
sf4093d,22,R25-264-13,MASH,2025-08-25HE,train,23040,23552,32
sf4093d,23,R25-264-13,MASH,2025-08-25HE,train,41984,23040,32
sf4093d,24,R25-264-13,MASH,2025-08-25HE,train,10240,11776,32
sa2d3f3,1,R25-264-3,MASH,2025-08-25HE,train,44544,20992,26
sa2d3f3,2,R25-264-3,MASH,2025-08-25HE,train,36352,7168,26
