x,y,size,tissue_fraction,score,n_scored_cells,tile_id,frame_tiles,frame_patches,slide,cohort,batch,diet,scored,score_pct,split
16384,20480,512,1.0,0.0783018433903887,1,R25-264-1_x016384_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,54.76,train
16896,20480,512,1.0,-2.4463146316452153,1,R25-264-1_x016896_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,13.1,train
17408,20480,512,1.0,2.1266911988691484,1,R25-264-1_x017408_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,86.31,train
17920,20480,512,1.0,-3.7250529644594583,1,R25-264-1_x017920_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,6.55,train
18432,20480,512,1.0,1.1047831852755376,1,R25-264-1_x018432_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,73.81,train
18944,20480,512,1.0,,0,R25-264-1_x018944_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
19456,20480,512,1.0,0.4717819060476069,3,R25-264-1_x019456_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,63.69,train
19968,20480,512,1.0,,0,R25-264-1_x019968_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
20480,20480,512,1.0,,0,R25-264-1_x020480_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
20992,20480,512,1.0,,0,R25-264-1_x020992_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
21504,20480,512,1.0,-1.0938755872301875,3,R25-264-1_x021504_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,32.14,train
22016,20480,512,1.0,,0,R25-264-1_x022016_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
22528,20480,512,1.0,-0.6540943959370051,1,R25-264-1_x022528_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,38.69,train
23040,20480,512,1.0,,0,R25-264-1_x023040_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
23552,20480,512,1.0,,0,R25-264-1_x023552_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
24064,20480,512,1.0,-0.471038679228029,1,R25-264-1_x024064_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,42.26,train
24576,20480,512,1.0,-0.6287502631596256,1,R25-264-1_x024576_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,39.88,train
25088,20480,512,1.0,,0,R25-264-1_x025088_y020480,394,1,R25-264-1,MASH,2025-08-25HE,unknown,True,0.0,train
